date,total_pnl,median_pnl,trade_count,win_rate,total_volume,avg_trade_size,long_ratio,fg_value,classification,is_profitable,weekend,cumulative_pnl,sentiment_group,fg_yest,pnl_yest,vol_yest,target,intensity_q,sharpe_proxy
2024-01-15,152.85358,2.4946450000000002,14,0.6428571428571429,50636.1,3616.8642857142854,0.35714285714285715,52.0,Neutral,True,False,-1617.1620869999997,Neutral,71.0,-1925.519024,200082.27,0.0,Mid-Low,0.20396292006861927
2024-01-16,-2299.171458,0.0,9,0.3333333333333333,116427.33,12936.37,0.4444444444444444,64.0,Greed,False,False,-3916.3335449999995,Greed,52.0,152.85358,50636.1,1.0,Mid-Low,-2.4236238946369153
2024-01-17,813.2741110000001,0.0,53,0.20754716981132076,800831.03,15110.019433962265,0.5849056603773585,60.0,Greed,True,False,-3103.0594339999993,Greed,64.0,-2299.171458,116427.33,1.0,Mid-Low,0.7069611840180751
2024-01-18,68.93319,0.0,46,0.06521739130434782,424631.52999999997,9231.120217391304,0.391304347826087,63.0,Greed,True,False,-3034.126243999999,Greed,60.0,813.2741110000001,800831.03,0.0,Mid-Low,0.05750232627937197
2024-01-19,-385.419235,0.0,48,0.125,428428.97,8925.603541666665,0.6458333333333334,51.0,Neutral,False,False,-3419.545478999999,Neutral,63.0,68.93319,424631.52999999997,0.0,Mid-Low,-0.33671002677395395
2024-01-20,-146.57487000000003,0.0,106,0.14150943396226415,1070090.51,10095.193490566038,0.5660377358490566,52.0,Neutral,False,True,-3566.120348999999,Neutral,51.0,-385.419235,428428.97,1.0,Mid-Low,-0.1279431847460106
2024-01-21,266.58114600000005,0.0,11,0.2727272727272727,103129.74,9375.43090909091,0.2727272727272727,56.0,Greed,True,True,-3299.539202999999,Greed,52.0,-146.57487000000003,1070090.51,1.0,Mid-Low,0.2692278357043129
2024-01-22,1375.640959,0.0,85,0.27058823529411763,337878.99,3975.0469411764707,0.6,55.0,Greed,True,False,-1923.8982439999988,Greed,56.0,266.58114600000005,103129.74,0.0,Mid-Low,1.185985469646914
2024-01-23,-369.2447299999998,0.0,45,0.24444444444444444,414518.93000000005,9211.531777777778,0.7333333333333333,50.0,Neutral,False,False,-2293.1429739999985,Neutral,55.0,1375.640959,337878.99,0.0,Mid-Low,-0.5653322447636728
2024-01-24,-2808.353815,0.0,68,0.14705882352941177,965084.59,14192.42044117647,0.39705882352941174,48.0,Neutral,False,False,-5101.496788999999,Neutral,50.0,-369.2447299999998,414518.93000000005,0.0,Low,-2.2212523162116895
2024-01-25,-3093.6293849999997,-481.44219250000003,6,0.0,66566.13,11094.355000000001,0.0,52.0,Neutral,False,False,-8195.126173999999,Neutral,48.0,-2808.353815,965084.59,1.0,Mid-Low,-1.8990826852357137
